date,region,product,category,customer_type,quantity,price,sales,customer_rating,sales_category
2024-04-12,East,Laptop,Electronics,Returning,8,590,4295.2,1,very high
2024-12-14,South,Monitor,Accessories,Returning,2,262,429.68,1,medium
2024-09-27,North,Phone,Accessories,New,5,512,2329.6,2,very high
2024-04-16,West,Mouse,Electronics,Returning,1,485,441.35,1,medium
2024-03-12,West,Phone,Electronics,Returning,7,332,1812.72,4,very high
2024-07-07,West,Laptop,Electronics,New,8,1480,11721.6,2,
2024-01-21,East,Mouse,Accessories,Returning,6,137,600.06,1,high
2024-04-12,West,Phone,Accessories,Returning,5,1117,4132.9,2,very high
2024-05-01,West,Keyboard,Accessories,Returning,6,510,2448.0,3,very high
2024-08-02,West,Tablet,Electronics,New,2,327,536.2800000000001,2,high
2024-11-26,South,Laptop,Electronics,Returning,1,470,343.1,1,medium
2024-03-28,East,Phone,Accessories,Returning,7,1426,9383.08,1,
2024-04-09,West,Laptop,Accessories,Returning,7,745,5110.7,3,
2024-12-25,North,Laptop,Electronics,Returning,2,564,1049.04,4,very high
2024-05-31,North,Mouse,Electronics,New,2,752,1143.04,2,very high
2024-05-10,North,Mouse,Electronics,New,1,68,67.32,3,low
2024-05-29,East,Tablet,Electronics,Returning,8,72,478.08,3,medium
2024-11-04,East,Keyboard,Accessories,Returning,8,462,2587.2,2,very high
2024-09-14,North,Laptop,Electronics,New,1,1103,816.22,1,high
2024-12-09,West,Phone,Accessories,New,8,157,1055.04,3,very high
2024-10-20,East,Monitor,Accessories,Returning,9,1440,12700.8,3,
2024-07-10,North,Laptop,Accessories,New,4,1354,4062.0,2,very high
2024-10-03,North,Laptop,Electronics,Returning,1,1201,984.82,2,high
2024-06-09,West,Tablet,Electronics,New,1,1302,1262.94,3,very high
2024-11-09,South,Keyboard,Electronics,New,3,1184,3445.44,3,very high
2024-01-22,East,Monitor,Electronics,New,5,185,675.25,4,high
2024-09-09,West,Mouse,Accessories,New,5,411,1644.0,1,very high
